id,genre_ids,poster_path,title,overview,release_date,popularity,original_title,backdrop_path,keywords,vote_count,video,adult,vote_average,original_language
49255,"[99, 36]",/61de535s8sc8gvcJK60IR2l2CPR.jpg,Annie Leibovitz: Life Through a Lens,"This documentary takes an in-depth look at the influential career of iconic photographer Annie Leibovitz, from her earliest artistic efforts to her storied tenure at Rolling Stone and Vanity Fair magazines and beyond. Intimately filmed by Annie's sister Barbara Leibovitz, the program features interviews with the artist as she works at home, along with telling insights from many of the celebrities she has photographed, such as Mick Jagger.",2007-01-03,1.435443,Annie Leibovitz: Life Through a Lens,/yTMP0mFDuhSRxg5jYG3Nq2ofr4.jpg,woman director,4,False,False,7,en
33320,"[16, 18, 10749]",/ArGrTy9lMIUN4XwlxfmvQ6MhfUH.jpg,Millennium Actress,"A movie studio is being torn down. TV interviewer Genya Tachibana has tracked down its most famous star, Chiyoko Fujiwara, who has been a recluse since she left acting some 30 years ago. Tachibana delivers a key to her, and it causes her to reflect on her career; as she's telling the story, Tachibana and his long-suffering cameraman are drawn in.",2001-07-28,1.435341,千年女優,/fA9nKoohygDh9VSNX8kzkWC7097.jpg,"confession,key,cameraman",85,False,False,7.6,ja
416513,"[35, 16]",/z7pPZLfqpwsqvG1YFhg4ZtMieDc.jpg,Si Juki The Movie,Add the plot.,2017-04-04,1.435154,Si Juki The Movie,,,0,False,False,0,id
13924,[16],/fJyrCqZRzL4HN1FJ46OGITV4Yda.jpg,The Adventures of André and Wally B.,"There's nothing like a restful nap in a pleasant wooded valley. But when André awakens and is greeted by a pesky yellow-and-black striped insect with a nasty stinger, he ends up taking a quick (and painful) hike.",1984-12-17,1.435147,The Adventures of André and Wally B.,/7liRpp7OGo2P3Yn0Qnn4zkMPeVk.jpg,computer animation,50,False,False,5.2,en
11444,[35],/wYOwagjdync68KPJ1ika3Xe5EQ9.jpg,The Closet,"A man spreads the rumor of his fake homosexuality with the aid of his neighbor, to prevent his imminent firing at his work.",2001-01-17,1.435108,Le Placard,/yG6WpuYeP43CoTpbKJDh8C1MyOC.jpg,"factory worker,factory,coming out,condom,bluff,kündigung,homosexuality,neighbor",77,False,False,6.2,fr
35705,"[18, 10749]",/yOKPChjmDr6P8wpc9MAdKKIPXjG.jpg,Devil in the Flesh,"An Italian high school student becomes infatuated with a woman he sees outside his class window. Her fiancée is in jail for being involved in a radical movement, and she spends much time in court providing moral support. At first she resists the student's advances, but eventually begins an affair with him. Their situation is condemned by her family and his father, who is the woman's psychologist.",1986-04-22,1.435061,Diavolo in corpo,/8i6kNpNiRejxEhiWhatudqw3ZnQ.jpg,"eroticism,fellatio,unsimulated sex",10,False,False,5.3,it
10477,[28],/vtPvxgQBoNBFnnnYjS1lb6pLXtv.jpg,Driven,"Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life.",2001-04-27,1.435046,Driven,/hn6mM3jzGx89om7smCCfDcG21sS.jpg,"competition,running,career,idol,racing car",137,False,False,4.5,en
704,"[35, 10402]",/zGadcmcF48gy8rKCX2ubBz2ZlbF.jpg,A Hard Day's Night,"Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest.",1964-07-06,1.435014,A Hard Day's Night,/b3DfxOIVK78bIo0epa1M0zURzOe.jpg,"adolescence,culture clash,press conference,behind the scenes,police chase,mockumentary,older man younger woman relationship,shaving,the beatles song,railway station,performer,psychotronic,generation gap,television director",139,False,False,7.3,en
17997,"[12, 14, 28, 878]",/zIb8IcEhZxXXQSKAugs6w8h3Sqo.jpg,Attack of the Gryphon,"In a mystical land torn apart by civil war, a warrior princess must team up with a rival warrior prince to hunt down an evil sorcerer who has summoned a giant flying demon which is terrorizing their land.",2007-01-27,1.434927,Gryphon,/mfreOpE1nj5FVjOsSpacddJMMEB.jpg,civil war,3,False,False,2.3,en
329556,"[28, 80, 18, 53]",/oWMB2n6gEkBapUBK3OexwZNGmpC.jpg,Landmine Goes Click,"After an American tourist steps on a landmine, he is forced to watch his girlfriend get assaulted.",2015-03-03,1.43488,Landmine Goes Click,/2rDgCp34j6g9GioPIRng5PMUuli.jpg,"rape,landmine,nudity,tourist,girlfriend,assault,revenge,survival,violence,trapped,terrorized",30,False,False,5.6,en
