genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,month,decade,group5,group4,group7,group6,group1,group3,group2
"[18, 36, 10752]",The Round Up,/iHJtP74X9hie5LZDwmFW7wugX1H.jpg,41411.0,1.966954,woman director,233.0,7.4,Rose Bosch,6859.0,12,21.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[10752, 28, 18, 36]",The Heroes of Telemark,/9nAExxKTVYOox0nR9nwtIkVEKN7.jpg,16850.0,1.885579,"world war ii,saboteur,resistance fighter",23.0,5.8,Anthony Mann,5155.0,PG,6.0,4.0,11.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[35, 18, 10752]",Little Boy,/6eTWSy0kzsEpeBnlzK18aIO0qSf.jpg,256962.0,1.601023,"japanese,world war ii,spirituality",153.0,7.0,Alejandro Monteverde,18045.0,12,26.0,15.0,4.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
"[18, 36, 10752]",The Flowers of War,/s9Lgt28YhHIVllsF3N1FxwNuGre.jpg,76758.0,1.541161,"forced prostitution,child rape",149.0,7.0,Yimou Zhang,40751.0,15,2.0,8.0,12.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 18, 36, 10752]",Defiance,/ArY2fs0nK6DbrCKrxaMeCTVRZ0i.jpg,13813.0,2.094735,"brother brother relationship,fight,world war ii,brother,survivor,forest,jewish,camp,partisan",467.0,6.6,Edward Zwick,121198.0,15,35.0,26.0,12.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[80, 18, 36, 10749]",Les Misérables,/2Nhy47o7G0gxu5YW4QF6gJHU3Sq.jpg,4415.0,1.493178,"falsely accused person,prisoner,blackmail,french revolution,motherly love",116.0,7.0,Bille August,33159.0,12,18.0,17.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[80, 18, 36, 10752]",Flame & Citron,/mqWZ8lDITRDUMC1ZiqKAsHYVjmZ.jpg,8883.0,1.396029,"assassin,copenhagen,resistance,repayment,world war ii,traitor,double agent,moral conflict,independent film,crime,gestapo,dishonesty",58.0,6.6,Ole Christian Madsen,14933.0,15,6.0,20.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[12, 18, 36]",Passage to Marseille,/aXSyIXD34vnrA8IxpuKjUGVjnTX.jpg,18229.0,1.208626,"england,escape,devil's island",10.0,6.5,Michael Curtiz,2961.0,PG,2.0,7.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 28, 36, 53]",War of the Arrows,/f1xAZmJVN27rz2xHkiz2aLylINQ.jpg,79224.0,1.553337,"arrow,archery",54.0,6.8,Han-min Kim,9022.0,15,13.0,2.0,8.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[35, 10752]",Renaissance Man,/uaiykEOEFs91WclowDhsVYNdGfX.jpg,11858.0,1.825872,"vietnam veteran,commercial,advertising expert,kaserne,stau,soldier,unemployment,woman director,teachers and students",60.0,5.7,Penny Marshall,14300.0,12,3.0,3.0,6.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[10752, 12]",Against the Sun,/5QTdkyxsgOw276K87Pt7RhpN2vE.jpg,302828.0,1.209703,"survival,lifeboat,bombardier",46.0,6.4,Brian Falk,3594.0,12,3.0,7.0,11.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[18, 10752]",Jarhead,/iEYnXqUsfTaKwO1svSa39Ap07of.jpg,25.0,2.718082,"sniper,marine corps,saudi-arabia,petrol,golf war,u.s. marine",619.0,6.5,Sam Mendes,148999.0,15,44.0,29.0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 35, 36, 10751]",Toast,/eagR6QF9YQPf0SbKGC996Sq8ssS.jpg,52850.0,1.260093,"male nudity,adolescence,nostalgia,autobiography,gay interest,cookies,woman director",55.0,6.2,S.J. Clarkson,7410.0,U,2.0,2.0,12.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
"[28, 12, 10752]",300,/bYR8O1H1ZlME7Dm9ysfTYZnRDpw.jpg,1271.0,3.800893,"evisceration,javelin,shield,army,fall from height,ancient world,s.a.t.,minions",4015.0,7.0,Zack Snyder,633456.0,15,104.0,56.0,12.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[18, 36, 10749]",The Edge of Love,/llmtWI97rUldX2Z47F03o1G9aqB.jpg,14061.0,1.268293,"biography,poet",72.0,6.1,John Maybury,13901.0,Unrated,1.0,5.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[12, 10751, 36]",Storm - Letter of Fire,/rqfnk0DRzDHc9TZSv3Z1lTmVFIA.jpg,378423.0,1.227044,"inquisition,freedom of speech,freedom of the press,reformation",0.0,0.0,Dennis Bots,58.0,PG,5.0,4.0,1.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"[28, 18, 10752]",Panfilov's 28 Men,/poKvkU32E9B1aCc4Pe6BrppMhFO.jpg,427342.0,1.250202,"hero,tank,fiction",15.0,7.0,Kim Druzhinin,2165.0,12,2.0,2.0,11.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[10752, 18, 53, 80, 28]",Who'll Stop the Rain,/AexCYBIfZnPonWBwKREoauPzXEm.jpg,31941.0,1.273824,"vietnam veteran,based on novel,heroin,vietnam,vietnam war,chase,drug smuggling,drug trade,machine gun",8.0,5.9,Karel Reisz,1908.0,R,3.0,2.0,8.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 10752]",Unbroken,/1un8i8UtCjSCnY3OfdxtB5kDRvF.jpg,227306.0,1.968801,"world war ii,prisoners of war,biography,sport,war,athlete,woman director,olympic athlete",1145.0,7.2,Angelina Jolie,112844.0,15,47.0,27.0,12.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[10752, 18, 36]",Army of Crime,/eIie46wCmqSbNUTRoKpfHCHDtxl.jpg,30432.0,1.396051,"paris,resistance,world war ii,ss,armenian genocide,ss commander",28.0,6.6,Robert Guédiguian,2649.0,15,8.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 10752, 53]",The IRA Informant,/xRTDQK1zC9POhc1QV4PVe2cmp1P.jpg,38275.0,1.213555,"based on novel,independent film,irish republican army,terrorism",3.0,6.8,Jim McBride,529.0,15,3.0,4.0,3.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
