id,genre_ids,poster_path,title,overview,release_date,popularity,original_title,backdrop_path,keywords,vote_count,video,adult,vote_average,original_language
24589,"[16, 12, 35, 10751, 14]",/gcWhEXk5dnZ8UkGESdfgJ7OIaxF.jpg,Dug's Special Mission,"Dug's Special Mission will give ""a little bit of the backstory of what Dug was actually doing"" before encountering Carl and Russell in Up. The short will be directed by Up story supervisor Ronnie Del Carmen.",2009-11-09,1.617475,Dug's Special Mission,/f2eTY3dHv3MGoluIfNjTOjxCGjI.jpg,"pixar animated short,dog",58,False,False,6.9,en
60488,"[12, 28, 10749]",/vlqDd3pTdbhfeRWjtLRXfJnpPQJ.jpg,Arabian Nights,"Jon Hall, Maria Montez and Sabu star in this lush, epic story of two half brothers who battle each other for the power of the throne and the love of a sensual, gorgeous dancing girl, Scheherazade",1942-12-25,1.617422,Arabian Nights,/sOCQpWliqvGFXDazjwNczdbidJN.jpg,"poison,dancer,slavery,bagdad,escape,danger",8,False,False,6.4,en
74536,"[18, 53, 80]",/9FjamK28WyTvWkMTrRuFn0eqnDr.jpg,The Son of No One,A rookie cop is assigned to the 118 Precinct in the same district where he grew up. The Precinct Captain starts receiving letters about two unsolved murders that happened many years ago in the housing projects when the rookie cop was just a kid. These letters bring back bad memories and old secrets that begin to threaten his career and break up his family.,2011-11-04,1.617418,The Son of No One,/ApBefsDhFfItayuZmKvxVyrU1ak.jpg,,76,False,False,4.6,en
65796,"[28, 37]",/qIgslXL0NDtSlcHxISACLwWbkRJ.jpg,Wild Bill,Biopic about famous gunslinger Wild Bill Hickock. The early career of legendary lawman is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,1995-12-01,1.6171,Wild Bill,/21QdOI1JIhJrdpaWxQfSLGEizHe.jpg,"opium,loss of eyesight,biography,sioux,wild bill hickok,calamity jane",19,False,False,5.9,en
5205,[99],/sFr91QWRZb2Xe8zpGJw1BW7dema.jpg,Pumping Iron,"Pumping Iron is a 1977 documentary film about the run-up to the 1975 Mr. Olympia bodybuilding competition. The film focuses on Arnold Schwarzenegger and his competitors, Lou Ferrigno and Franco Columbu. The documentary was co-directed by Robert Fiore and George Butler. It was based on the book of the same name by Charles Gaines and George Butler (Simon and Schuster, 1974).",1977-01-18,1.617074,Pumping Iron,/sl5sjCDyBogAUqOW29MBYeTgNXT.jpg,"training,sport,gym,bodybuilding competition",109,False,False,6.9,en
43619,"[18, 10749]",/55CcDAV74NhRpv14l4eQbKjAOOk.jpg,Leaving,"Suzanne is a well to do married woman and mother in the south of France. Her idle bourgeois lifestyle gets her down and she decides to go back to work as a physiotherapist. Her husband agrees to fix up a consulting room for her in their backyard. When Suzanne and the man hired to do the building meet, the mutual attraction is sudden and violent. Suzanne decides to give up everything and live this all engulfing passion to the fullest.",2009-08-12,1.61697,Partir,/hYUWhLM6XG6MlTAytE7mTbuYHST.jpg,"hospital,doctor patient relationship,hairy chest ,woman director",19,False,False,5.7,fr
73672,"[36, 28, 18, 10752]",/cmx1RSD2E5YUM6gaByzkmShHT2g.jpg,Alfred the Great,"While Old England is being ransacked by roving Danes in the 9th century, Alfred is planning to join the priesthood. But observing the rape of his land, he puts away his religious vows to take up arms against the invaders, leading the English Christians to fight for their country. Alfred soundly defeats the Danes and becomes a hero. But now, although Alfred still longs for the priesthood, he is torn between his passion for God and his lust for blood.",1969-10-08,1.61695,Alfred the Great,/attUZjhGmAEYVxVRJMqaOUd4YP4.jpg,,5,False,False,3.9,en
52454,"[28, 27, 878]",/j71V5e92YTP0rFGOX3kY8nHxujL.jpg,Mega Shark vs. Crocosaurus,"When the prehistoric warm-water beast the Crocosaurus crosses paths with that cold-water monster the Mega Shark, all hell breaks loose in the oceans as the world's top scientists explore every option to halt the aquatic frenzy. Swallowing everything in their paths -- including a submarine or two -- Croc and Mega lead an explorer and an oceanographer on a wild chase. Eventually, the desperate men turn to a volcano for aid.",2010-12-21,1.61667,Mega Shark vs. Crocosaurus,/bGDbLqSTQ0pg7fBeUgc8aht3q8D.jpg,"florida,crocodile,nuclear power plant,shark,underwater scene,battleship,military,aftercreditsstinger,giant crocodile,low budget film,exploding helicopter",32,False,False,2.6,en
397770,[99],/27hkcFmiO9oRFI8unDBVf88ir5R.jpg,The Birth,An education documentary that takes you through the process of birthing to puberty.,1981-05-16,1.616642,The Birth,/jzG6uiJ3CnBITSzyk1oBrbkMuNo.jpg,,0,False,False,0,en
121642,"[18, 10749, 10752]",/aJ4ekPlz4AmPwzrAXVg5SXnwU9w.jpg,Twice Born,"Actor-director Sergio Castellitto (Don't Move) directs Penélope Cruz and Emile Hirsch in this vivid, full-throttle melodrama about an ill-starred romance set against the backdrop of the siege of Sarajevo.  A mother brings her teenage son to Sarajevo, where his father died in the Bosnian conflict years ago.",2012-09-13,1.616615,Venuto al mondo,/6kdccOPKiVD8HcBGxs3FLYsvEuF.jpg,,105,False,False,6.8,en
