id,genre_ids,poster_path,title,overview,release_date,popularity,original_title,backdrop_path,keywords,vote_count,video,adult,vote_average,original_language
416574,"[18, 36]",/1NjTS3FDcGYzC0L5yaMkfQ3mULm.jpg,Egon Schiele: Death and the Maiden,"At the beginning of the 20th Century Egon Schiele is one of the most provocative artists in Vienna. His life and work are driven by beautiful women and an era that is coming to an end. Two women will have a lasting impact on him - his sister and first muse Gerti, and 17 year old Wally, arguably Schiele's one true love, immortalized in his famous painting 'Death and the Maiden'. Schiele's radical paintings scandalize Viennese society while daring artists like Gustav Klimt and art agents alike are sensing the exceptional. But Egon Schiele is also prepared to go beyond his own pain and to sacrifice Love and Life for his Art. Art that inspires us up to this day.",2016-11-17,1.270555,Egon Schiele: Tod und Mädchen,/uFR4gvjqxe9laXnj0q0p6xFxg8w.jpg,"female nudity,painter",1,False,False,7,en
300953,"[35, 28, 18]",/9zebZPyF6OdVBddWSJ8154MurBE.jpg,Mercedes mon Amour,"The film is based on 'Fikrimin Ince Gulu', a novel by Adalet Agaoglu, which depicts a first generation gurbetci/guest-worker returning home. It covers his land journey in short bursts from Germany to the Turkey's west border - and extensively from thereon to his village close to Ankara - capital of Turkey. He begins his journey purchasing a second hand yellow Mercedes - possibly his first car - using his meager savings working as a laborer. Offering deep insight into the mind of a manual laborer Bayram (Ilyas Salman) making his first trip back home, resorting to flashbacks in highlighting Bayram's motivation and experiences from his childhood right up to the events leading to his first departure from Turkey to Germany.",1993-03-01,1.270479,Mercedes mon Amour,/84UhXXoNpRVwh2CQsaz7rS7vB99.jpg,,1,False,False,9,tr
1890,"[18, 10749]",/r6eGT0NndQY6ulBpdJGL49ZTRqU.jpg,Children of a Lesser God,"James is a new speech teacher at a school for the deaf. He falls for Sarah, a pupil who decided to stay on at the school rather than venture into the big bad world. She shuns him at first, refusing to read his lips and only using signs. Will her feelings change over time?",1986-09-13,1.270356,Children of a Lesser God,/r2sJ5DTyIrVoShXF1xaf0TmBekp.jpg,"deaf-mute,listening,man-woman relation,deaf,woman director",49,False,False,6.7,en
37103,"[12, 18, 10752]",/e7ADHCtHwPVaryLfwyTywsOWR5L.jpg,"Heaven Knows, Mr. Allison","In 1944, in South Pacific, the castaway Marine Corporal Allison drifts in a raft to the Tuasiva Island, where he meets Sister Angela. She tells him that she is the only person in the island and was left behind by the runaway boat to Fiji Island while seeking the local priest. Stranded in the island, but with water, fish and fruits, their paradisiacal life ends when the Japanese arrive to build a base, forcing Allison and the nun to hide in a cave. The crude marine provides the necessary supply for their survival and falls in love for the nun.",1957-03-13,1.270284,"Heaven Knows, Mr. Allison",/5faHuEmz2ud0w8VWObHRPUrumBH.jpg,"world war ii,religion,pacific island",19,False,False,6.8,en
28894,[37],/n91bgR44xS6k3BE1ECB6pr497Hs.jpg,Rancho Notorious,A cowboy infiltrates a bandit hideout in search of his girlfriend's killer.,1952-03-01,1.270284,Rancho Notorious,/lxj4MS8obb5GoipEfsxRx1MxcC7.jpg,"robbery,ranch,revenge,chuck a luck",20,False,False,6,en
220153,[35],/7pdrohfGoduYlAYTeSsvsHCZAms.jpg,Iliza Shlesinger: War Paint,"Her innocent appearance is just a cover for Last Comic Standing winner Iliza Shlesinger's acerbic, stream-of-conscious comedy that she unleashes on an unsuspecting audience in her hometown of Dallas in ""War Paint,"" her first stand-up special.",2013-01-01,1.270283,Iliza Shlesinger: War Paint,/5TZaSkzR8N90AFU1ZMz3GoNPiyt.jpg,stand-up comedy,8,False,False,6.6,en
13754,"[28, 12, 16]",/cK9KJHvTKvtUwkpAXwepIEwARM7.jpg,Tekkonkinkreet,"When mysterious foreign entrepreneurs appear with the intention of tearing down Treasure Town and replacing it with an amusement park, Black and White face their greatest adversaries yet. It is up to the destructive Black to save the fate of the city and up to the gentle White to save Black from his own dark nature. On the street of an unnamed city, literally high-flying urchins Black and White look to protect their turf from invasion from other gangs. While he can be tough in a fight or wielding a weapon, White is an 11-year-old who can't even dress himself. Slightly older, Black is more worldly and treats his buddy with paternal love. Both look on their city as ""our town."" Also prone to seeing the city as his property is world-weary yakuza leader Suzuki, aka the Rat. Feeling the town has become too placid, Suzuki plots his return, much to the consternation of local police.",2006-12-11,1.270263,Tekkon kinkurîto,/3bnZbpiADbzaIWNnnqHFAyaWvSE.jpg,"flying,yakuza,minotaur,based on manga,urban setting,development,urban development,street children,save the neighborhood,giant man,anime,big comic spirits",62,False,False,7.6,ja
57812,"[878, 27]",/3KNPUjuBcVAMbSL3eCL60bko9Xa.jpg,51,"Due to political pressure from the American public, the Air Force has decided to allow two well-known reporters limited access to the most secretive base on the planet. But when one of the base’s “long-term visitors” exploits this unprecedented visit as a chance to liberate himself and his fellow alien captives, Area 51 turns from a secure government base to a horrifying destination of terror.",2011-02-26,1.270219,51,/w6EDSylQHjRP9eIfIlx4b28PZvg.jpg,"horror,cover-up,ufo,alien,conspiracy",32,False,False,4.4,en
26984,"[10751, 14, 18, 10770, 12]",/kcGCml7dPr5b0St2Alu1YIPysm7.jpg,Babes In Toyland,"11-year-old Lisa has no time for toys; she's too busy taking care of her siblings and cooking for her mother. During the Christmas Eve blizzard, Lisa travels to Toyland in Wizard of Oz-like fashion and arrives just in time for a wedding. Young Mary Contrary is about to marry mean, old Barnaby Barnacle, despite the fact that she loves Jack Be Nimble. Lisa tries to stop this terrible wedding and, together with her new friends, discovers that Barnaby wants to take over Toyland. Lisa, Mary, Jack, and Georgie Porgie ask the Toymaster for help, but he can't help them as long as Lisa doesn't truly believe in toys.",1987-12-17,1.270217,Babes In Toyland,/ydrPlwgZPLxOyXP6CB3NFtWprnD.jpg,"holiday,toy,musical,christmas",12,False,False,5.5,en
176983,"[28, 16, 12]",/xEtU6BGHlI4YRkTqUuaqR5u2V9J.jpg,One Piece Film Z,"Zephyr, now known as Z, rides the seas with only one goal: Destroy all pirates and their dreams at becoming King of Pirates. When Luffy and his crew encounter him at sea, not only are they utterly defeated by the man with an arm made of Seastone, Nami, Robin, and Chopper are turned 10 years younger due to Z's minion Ain. Luffy is so determined to win against him that he does not even notice Z's master plan that could sacrifice thousands of lives.",2012-12-15,1.270191,One Piece Film Z,/xQuPNX2RIgLV54fmDuLgDgPWwna.jpg,"anime,one piece",56,False,False,7.1,ja
48393,"[27, 53]",/tkSfaan6o5VIvc8cwEmWxr85QLl.jpg,Kidnapped,"Three hooded Eastern-European criminals burst into a home in a Madrid gated community, holding the family hostage in its own home, and forcing the father to empty his credit cards. But the family fights back - brutally.",2010-06-17,1.270187,Secuestrados,/af6NUT7dtUYaXMHwqvmnLmWteYR.jpg,"rape,stabbed to death,long take",43,False,False,6.2,es
