id,genre_ids,poster_path,title,overview,release_date,popularity,original_title,backdrop_path,keywords,vote_count,video,adult,vote_average,original_language
321612,"[14, 10402, 10749]",/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,Beauty and the Beast,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,2017-03-17,180.45132,Beauty and the Beast,/6aUWe0GSl69wMTSWWexsorMIvwU.jpg,"france,magic,castle,fairy tale,musical,curse,creature,held captive,gothic,18th century,beast",1246,False,False,7.1,en
263115,"[28, 18, 878]",/45Y1G5FEgttPAwjTYic6czC9xCn.jpg,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces.",2017-02-28,117.369877,Logan,/5pAGnkFYSsFJ99ZxDIYnhQbQFXs.jpg,"cyborg,experiment,self-destruction,mutant,future,dystopia,immortality,marvel comic,sequel,superhero,based on comic book,wolverine,scientific experiment,super powers,neo-western,troubled past,hopeless,life,life on the margin",2075,False,False,7.6,en
335797,"[16, 35, 18, 10751, 10402]",/s9ye87pvq2IaDvjv9x4IOXVjvA7.jpg,Sing,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,2016-11-23,80.989984,Sing,/fxDXp8un4qNY9b1dLd7SH6CKzC.jpg,"furry,talking animal,singing,anthropomorphic animal,cgi animation,theater,singing competition",1007,False,False,6.7,en
293167,"[878, 28, 12, 14]",/aoUyphk4nwffrwlZRaOa0eijgpr.jpg,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",2017-03-08,61.933195,Kong: Skull Island,/pGwChWiAY1bdoxL79sXmaFBlYJH.jpg,"monster,expedition,island,prequel,king kong,kaiju,monster island,uncharted",876,False,False,6.1,en
135397,"[28, 12, 878, 53]",/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",2015-06-09,51.976724,Jurassic World,/dkMD5qlogeRMiEixC4YNPUvax2T.jpg,"monster,dna,tyrannosaurus rex,velociraptor,island,sequel,suspense,disaster,escape,dinosaur,amusement park,animal attack,theme park,jurassic park,3d,animal horror",6699,False,False,6.5,en
315837,"[28, 18, 878]",/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,Ghost in the Shell,"In the near future, Major is the first of her kind: a human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",2017-03-29,42.800777,Ghost in the Shell,/lsRhmB7m36pEX0UHpkpJSE48BW5.jpg,"philosophy,cyborg,hacker,strong woman,investigation,suspense,female protagonist,cyberpunk,terrorism,evolution,dystopic future,network,based on anime,inner journey",229,False,False,6.5,en
259316,"[12, 28, 14]",/gri0DDxsERr6B2sOR1fGLxLpSLx.jpg,Fantastic Beasts and Where to Find Them,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",2016-11-16,40.553052,Fantastic Beasts and Where to Find Them,/kMzU4PkXcKcDMngCxXji0BbVXsu.jpg,"robbery,lion,magic,teleportation,suitcase,eagle,arrest,friendship,bakery,new york city,death,subway station,central park,wizard,goblin,magical creature,destroyed building",3118,False,False,7,en
295693,"[16, 35, 10751]",/67NXPYvK92oQgEQvLppF2Siol9q.jpg,The Boss Baby,"A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",2017-03-23,39.72391,The Boss Baby,/8keMlLuzB9XIUBnbdEq5DCqZdHQ.jpg,"family relationships,unreliable narrator,3d",171,False,False,5.8,en
157336,"[12, 18, 878]",/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,35.594463,Interstellar,/xu9zaAevzQ5nnrsXN6JcahLnG4i.jpg,"saving the world,artificial intelligence,father son relationship,single parent,nasa,expedition,wormhole,space travel,famine,black hole,dystopia,race against time,quantum mechanics,spaceship,space,rescue,family relationships,farmhouse,robot,astronaut,scientist,father daughter relationship,single father,farmer,space station,imax,astrophysics,zero gravity,courage,time paradox,relativity",8037,False,False,8,en
127380,"[12, 16, 35, 10751]",/z09QAf8WbZncbitewNk6lKYMZsh.jpg,Finding Dory,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,2016-06-16,34.089495,Finding Dory,/iWRKYHTFlsrxQtfQqFOQyceL83P.jpg,"fish,amnesia,sequel,animation,talking animal,underwater,anthropomorphic animal,pixar",2899,False,False,6.7,en
395992,"[27, 878, 53]",/h2mhfbEBGABSHo2vXG1ECMKAJa7.jpg,Life,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",2017-03-23,32.221253,Life,/hES8wGmkxHa54z7hqUMpw5TIs09.jpg,"mars,space,astronaut,space station,intelligent,trapped in space,extraterrestrial life",207,False,False,6.1,en
118340,"[28, 878, 12]",/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",2014-07-30,29.266373,Guardians of the Galaxy,/bHarw8xrmQeqf3t8HpuMY7zoK4x.jpg,"marvel comic,spaceship,space,scene during end credits,outer space,adventurer,aftercreditsstinger,orphan boy,marvel cinematic universe",6734,False,False,7.9,en
329865,"[18, 878]",/hLudzvGfpi6JlwUnsNhXwKKg4j.jpg,Arrival,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",2016-11-10,28.787982,Arrival,/yIZ1xendyqKvY3FGeeUYUd5X9Mm.jpg,"spacecraft,language,loss,romance,alien,scientist,family,heartbreak,based on short story,nonlinear timeline,military,alien language,linguist,female lead,first contact,communication,linguistics",3310,False,False,6.9,en
