tmdb_id,genre_ids,poster_path,title,overview,release_date,popularity,original_title,backdrop_path,keywords,vote_count,video,adult,vote_average,original_language,imdb_id,director,imdb_votes,certificate,num_stunts,num_fx
180,"[28, 53, 878, 9648]",/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",2002-06-20,4.023489,Minority Report,/pG39VS7fFLk2crzq57RkqDfUSk0.jpg,"self-fulfilling prophecy,evidence,hologram,dystopia",2035,False,False,7.0,en,181689.0,Steven Spielberg,418905.0,12,88.0,49.0
74,"[12, 53, 878]",/xXMM9KY2eq1SDOQif9zO91YOBA8.jpg,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",2005-06-23,4.022906,War of the Worlds,/bwTb66gicrB7HbkogwNs9V37Ddb.jpg,"post traumatic stress  disorder,new jersey,airplane,dystopia,daughter,apocalypse,alien invasion,human subjugation",1690,False,False,6.1,en,407304.0,Steven Spielberg,349381.0,12A,94.0,90.0
840,"[878, 18]",/mABOVIUl5lB0WF4HG28rfamgxG1.jpg,Close Encounters of the Third Kind,"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",1977-11-16,4.018199,Close Encounters of the Third Kind,/xATZyEpnZ0Z0iO9z5K8RZsraGKI.jpg,"indiana,obsession,extraterrestrial technology,evacuation,blackout,flying saucer,secret base,light,contact,beguilement,exchange,ufo,alien,vision,missing person,mother ship,escapade,obsessive quest,life turned upside down",849,False,False,7.2,en,75860.0,Steven Spielberg,146265.0,TV-MA,10.0,8.0
44115,"[12, 18, 53]",/c6Nu7UjhGCQtV16WXabqOQfikK6.jpg,127 Hours,"127 Hours is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah. Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he is finally rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the two hikers he met before his accident. Will they be the last two people he ever had the chance to meet?",2010-11-05,4.017993,127 Hours,/eHUoB8NbvrvKp7KQMNgvc7yLpzM.jpg,"mountains,despair,adventure,utah,alone,canyon,climbing,based on true story,rescue,survival,escape,true,trapped,boulder,adventurer,flashback,climber,isolated,hikers,very little dialogue",2067,False,False,6.9,en,1542344.0,Danny Boyle,292099.0,15,11.0,6.0
242512,[27],/vHTXN00kJktCbSLV50Vbk9siNiX.jpg,Ouija,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,2014-10-24,4.014788,Ouija,/9bHoFTTFacsReoDJRBlIx7V98TC.jpg,"death of a friend,swimming pool,ouija,ouija board,teenager,based on board game,ghost,spiritualism,supernatural horror",726,False,False,4.9,en,1204977.0,Stiles White,37043.0,15,20.0,4.0
686,"[18, 878, 9648]",/yRF1qpaQPZJjiORDsR7eUHzSHbf.jpg,Contact,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",1997-07-11,4.008309,Contact,/vlulJKZ843k2fCRgIaUlm8X2EWz.jpg,"based on novel,nasa,new mexico,extraterrestrial technology,prime number,star,radio wave,wormhole,fanatic,spirituality,religion,scientist,sabotage,ham radio,alien contact,mechanical engineering,observatory,eccentric man,radio telescope",1028,False,False,7.1,en,118884.0,Robert Zemeckis,211096.0,PG,7.0,28.0
15070,"[28, 12, 18, 53]",/dhBQvKYMayM61M7kHOk35IfpE8K.jpg,Undisputed,"Monroe Hutchens is the heavyweight champion of Sweetwater, a maximum security prison. He was convicted to a life sentence due to a passionate crime. Iceman Chambers is the heavyweight champion, who lost his title due to a rape conviction to ten years in Sweetwater. WHen these two giants collide in the same prison, they fight against each other disputing who is the real champion.",2002-08-23,4.00681,Undisputed,/cd6ZWNGMuF8BuFQFYOmzOWRTXHU.jpg,sport,94,False,False,6.2,en,281322.0,Walter Hill,22992.0,15,12.0,2.0
58595,"[12, 14, 18]",/40iabcM7KQLJzmO8yGm8AvUbxZR.jpg,Snow White and the Huntsman,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",2012-05-30,4.00397,Snow White and the Huntsman,/sPnG1FDAMkhzsOYRpT9MEF8ZkUv.jpg,"queen,magic,fairy tale,magic mirror,immortality,deception,woman,eternal youth,snow white,evil queen,fantasy world,evil stepmother,imprisoned,dark forest,sorceress",2492,False,False,5.7,en,1735898.0,Rupert Sanders,238655.0,12A,133.0,91.0
64682,"[18, 10749]",/oJpOYPpVWyPeunGbbDGH1KFvea0.jpg,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",2013-05-10,4.001257,The Great Gatsby,/w8RV2fu8eja5izgTnhaoL2uokqu.jpg,"based on novel,infidelity,obsession,hope,3d",2923,False,False,7.2,en,1343092.0,Baz Luhrmann,383431.0,12A,44.0,16.0
75,"[35, 14, 878]",/sM4VrptBRIFHmN7mLJZ2BaGKYNq.jpg,Mars Attacks!,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",1996-12-12,3.988545,Mars Attacks!,/bAlizRLmB0yJubWCwtJyofBfY0f.jpg,"saving the world,total destruction,magic language,white house,mars,u.s. president,cataclysm,lasergun,ambassador,congress,pest,flying saucer",1139,False,False,6.1,en,116996.0,Tim Burton,179223.0,12,60.0,32.0
