id,imdb_id
295693,3874544
321612,2771200
263115,3315342
335797,3470600
293167,3731562
315837,1219827
381288,4972582
135397,0369610
259316,3183660
157336,0816692
330459,3748528
76341,1392190
127380,2277860
118340,2015381
329865,2543164
271110,3498820
284052,1211837
293660,1431045
395992,5442430
245891,2911666
348893,3344680
382591,5078204
346672,3717252
15206,0804507
337339,4630562
22,0325980
246655,3385516
274870,1355644
305470,3717490
122917,2310332
313369,3783958
269149,2948356
334543,3741834
324786,2119532
168259,2820852
27205,1375666
177572,2245084
210577,2267998
209112,2975590
49026,1345836
240832,2872732
281007,0075242
550,0137523
310307,4276820
346685,3631112
356305,4501244
381284,4846340
87101,1340138
76338,1981115
155,0468569
10020,0101414
121856,2094766
297761,1386697
131631,1951265
278,0111161
671,0241527
376134,5155780
283366,1935859
597,0120338
341174,4465564
19995,0499549
244786,2582802
140607,2488496
194662,2562232
120,0120737
286217,3659388
388399,4572514
242582,2872718
324552,4425200
372058,5311514
262500,2908446
228150,2713180
24428,0848228
11,0076759
137116,2398241
58,0383574
166426,1790809
419430,5052448
296524,1860357
281957,1663202
211672,2293640
254128,2126355
1865,1298650
807,0114369
425,0268380
285,0449088
10195,0800369
127585,1877832
340666,4550098
284053,3501632
277,0320691
680,0110912
105,0088763
390051,4581576
13,0109830
264660,0470752
262841,3095734
343611,3393786
98566,1291150
376660,1878870
198663,1790864
49051,0903624
205596,2084970
106646,0993846
408647,6315800
99861,2395427
44214,0947798
206647,2379713
216015,2322441
38810,1379182
324542,2072233
41280,0082948
100402,1843866
109445,2294629
238,0068646
302401,3774114
345920,4682786
16869,0361748
369885,3640424
376867,4975722
12445,1201607
47933,1628841
78,0083658
198184,1823672
141,0246578
257344,2120120
188927,2660888
68721,1300854
14564,0498381
102899,0478970
218,0088247
348,0078748
363676,3263904
77,0209144
1771,0458339
214756,2637276
424,0108052
11324,1130884
158852,1964418
291805,3110958
136799,1679335
10764,0830515
137113,1631867
207932,3062096
273248,3460252
280,0103064
603,0133093
68718,1853728
679,0090605
70981,1446714
1726,0371746
76757,1617661
75656,1670345
47971,1293847
64690,0780504
672,0295297
534,0438488
110415,1706620
302946,2140479
225886,1956620
272,0372784
223702,1700841
10138,1228705
68730,0490215
296096,2674426
57158,1170358
262504,3410834
12444,0926084
126889,2316204
8966,1099212
121,0167261
283995,3896198
101299,1951264
342473,2261287
43074,1289401
2048,0343818
629,0114814
140300,2267968
411088,4857264
156022,0455944
150540,2096673
122,0167260
1124,0482571
673,0304141
22970,1259521
150689,1661199
311324,2034800
557,0145487
1091,0084787
49521,0770828
278927,3040964
18,0119116
447113,6536944
37724,1074638
290250,3799694
8681,0936501
59967,1276104
9323,0113568
70160,1392170
129,0245429
12155,1014759
98,0172495
384682,1711525
767,0417741
18785,1119646
119450,2103281
59210,0323298
10681,0910970
300669,4160708
14160,1049413
270303,3235888
181533,2692250
241259,2567026
335988,3371366
107,0208092
12,0266543
6479,0480249
296,0181852
627,0117951
328387,3531824
292280,4030600
333484,2404435
13590,0195753
2501,0258463
328111,2709768
91314,2109248
674,0330373
324668,4196776
752,0434409
23483,1250777
333371,1179933
602,0116629
85,0082971
299687,2304933
36557,0381061
219814,0221443
51876,1219289
497,0120689
131634,1951266
1402,0454921
17654,1136608
95,0120591
324560,1895315
24,0266697
353070,2568862
277216,1398426
675,0373889
562,0095016
640,0264464
68735,0803096
8587,0110357
37165,0120382
1422,0407887
862,0114709
564,0120616
161,0240772
345009,3707104
77338,1675434
332210,4624424
857,0120815
10144,0097757
54138,1408101
1381,0414993
332567,4052882
260346,2446042
307081,1798684
27578,1320253
37799,1285016
49047,1454468
646,0055928
2062,0382932
102382,1872181
950,0438097
339397,4513674
120467,2278388
13475,0796366
6977,0477348
101,0110413
157350,1840309
812,0103639
76203,2024544
89,0097576
10193,0435761
82690,1772341
177677,2381249
340837,4731136
38,0338013
137,0107048
334541,4034228
278154,3416828
337556,4960934
1930,0948470
747,0365748
115,0118715
197,0112573
147441,1528100
258489,0918940
102651,1587310
953,0351283
10582,0082528
174321,2055765
253412,2719848
28,0078788
70,0405159
338766,2582782
9502,0441773
49530,1637688
152601,1798709
14,0169547
36643,0143145
45612,0945513
302699,1489889
19908,1156398
808,0126029
421443,3198000
607,0119654
207703,2802144
118,0367594
13183,0409459
162,0099487
217,0367882
73,0120586
271969,2638144
207,0097165
267860,3300542
591,0382625
45269,1504320
313297,4302938
49017,0829150
1724,0800080
979,0290673
2502,0372183
578,0073195
1735,0859163
24021,1325004
13448,0808151
1891,0080684
710,0113189
9806,0317705
259693,3065204
72105,1637725
82023,2080323
286567,1472584
266856,2980516
604,0234215
86331,1879030
61791,1318514
334533,3553976
694,0081505
16320,0379786
329103,4136094
637,0118799
283489,3663184
620,0087332
36669,0246460
310131,4263482
605,0242653
13223,1205489
1734,0209163
315635,2250912
290595,2381991
389,0050083
187,0401792
370663,5073620
8960,0448157
294272,2788732
87827,0454876
500,0105236
347031,4034354
608,0120912
111,0086250
585,0198781
400928,4481414
235,0092005
12437,0834001
326947,2414196
769,0099685
855,0265086
52520,1496025
20352,1323594
258230,3416532
2105,0163651
10528,0988045
203801,1638355
559,0413300
1573,0099423
57800,1667889
103,0075314
80992,0083242
72190,0816711
82693,1045658
561,0360486
14161,1190080
18239,1259571
376866,1619029
275,0116282
863,0120363
393457,2671706
1495,0320661
64635,1386703
228967,2788710
240,0071562
834,0401855
62177,1217209
1593,0477347
278924,3522806
68724,1535108
259695,2361317
393,0378194
714,0120347
2503,0440963
615,0335345
238636,2975578
7451,0295701
249397,2382009
82702,1646971
62,0062622
23629,0978764
856,0096438
53182,1253863
314365,1895587
36647,0120611
1366,0075148
1572,0112864
273481,3397884
254,0360717
270946,1911658
745,0167404
3131,0217505
4922,0421715
920,0317219
75612,1483013
146233,1392214
180863,2763304
8467,0109686
157353,2209764
97020,1234721
308531,3949660
787,0356910
385128,5433138
431,0123755
2270,0486655
296098,3682448
440249,5168832
9693,0206634
36586,0187738
138103,2333784
539,0054215
8844,0113497
956,0317919
20662,0955308
242224,2321549
294254,4046784
754,0119094
50619,1324999
325133,4438848
399106,5613056
264644,3170832
1538,0369339
8358,0162222
402,0103772
3170,0034492
87,0087469
153,0335266
449674,6736782
658,0058150
809,0298148
670,0364569
601,0083866
124905,0831387
176147,0492461
408,0029583
45243,1411697
87421,1411250
587,0319061
351286,4881806
222935,2582846
47046,0317171
450825,
510,0073486
6114,0103874
340102,4682266
153518,1985949
267935,3691740
20526,1104001
9738,0120667
772,0104431
189,0458481
954,0117060
423,0253474
210860,3045616
82700,1815862
328425,4178092
308266,2005151
352529,1119158
333663,3708886
62213,1077368
652,0332452
63,0114746
8355,1080016
180,0181689
74,0407304
440642,6673840
840,0075860
44115,1542344
242512,1204977
686,0118884
15070,0281322
58595,1735898
64682,1343092
451742,
451661,2920294
164,0054698
352501,4662420
75,0116996
286565,3622592
122081,2101441
9654,0317740
489,0119217
8909,0493464
41154,1409024
810,0413267
50456,0993842
190859,2179136
49049,1343727
56292,1229238
1576,0120804
12092,0043274
68737,1121096
299536,4154756
194,0211915
50620,1673434
331313,2387499
854,0110475
170,0289043
168672,1800241
271718,3152624
1894,0121765
4935,0347149
9552,0070047
8077,0103644
568,0112384
598,0317248
205584,2404233
128,0119698
159824,2510894
105864,1979388
324849,4116284
364,0103776
2268,0385752
166424,1502712
265208,2231253
320588,3766394
1417,0457430
268,0096895
181808,2527336
1637,0111257
17431,1182345
83542,1371111
1895,0121766
254470,2848292
370755,5247022
49849,0409847
68726,1663662
414,0112462
12230,0055254
298,0496806
117,0094226
10198,0780521
44264,1403865
1635,0399201
64688,1232829
175,0095250
4348,0414387
7131,0338526
792,0091763
1018,0166924
5503,0106977
334521,4158096
81774,0092995
10555,0307453
60304,1428538
1271,0416449
1272,0448134
453,0268978
644,0212720
44833,1440129
380,0095953
10625,0377092
69,0358273
290098,4016934
116149,1109624
138697,2229499
321258,3882082
346364,1396484
9509,0328107
107985,1213663
1369,0089880
565,0298130
345938,2872518
7299,0238380
600,0093058
207933,1772264
7191,1060277
93456,1690953
1892,0086190
238713,3079380
54989,0083552
2668,0162661
744,0092099
289,0034583
1954,0289879
9480,0287978
1585,0038650
335,0064116
411,0363771
17578,0983193
300671,4172430
2907,0101272
14836,0327597
9297,0385880
660,0059800
1368,0083944
116,0416320
37686,1650062
2770,0252866
242,0099674
1372,0450259
281338,3450958
788,0107614
415,0118688
49519,0481499
35,0462538
524,0112641
23168,0840361
270487,0475290
10529,0462465
2059,0368891
82675,1397280
1995,0146316
1924,0078346
1949,0443706
1701,0118880
49730,1486185
3049,0109040
316727,4094724
227159,2170439
11360,0033563
9741,0217869
11224,0042332
201088,2717822
357458,
259694,1292566
76726,1706593
340584,4680980
10191,0892769
75780,0790724
18360,1078912
176,0387564
563,0120201
195589,2004420
13885,0408236
279,0086879
3580,0824747
337674,3716530
82507,1922777
38757,0398286
955,0120755
861,0100802
4951,0147800
2675,0286106
668,0064757
185,0066921
59436,1605783
630,0032138
5915,0758758
4247,0175142
49040,1194173
345,0120663
82654,1588173
193893,1924435
65754,1568346
325789,1355631
376659,4651520
146,0190332
346,0047478
280960,1877586
49529,0401729
204922,1726592
1893,0120915
76163,1764651
7453,0371724
4232,0117571
12405,1010048
257211,2361509
9798,0120660
762,0071853
48138,1401152
1878,0120669
755,0116367
11929,0109642
109424,1535109
395,0370263
9659,0079501
416252,5336230
949,0113277
2118,0119488
8392,0096283
1690,0450278
1213,0134119
205587,1872194
316027,3729594
60935,0905372
4638,0425112
302156,3014866
224917,2179804
6477,0952640
331583,3503406
228161,2224026
5548,0093870
665,0052618
205775,1390411
297762,0451279
864,0106611
581,0099348
28468,0085328
2288,0376541
184315,1267297
1824,0343660
1903,0259711
1996,0325703
314095,1212428
267193,3381008
244506,2994190
136797,2369135
1979,0486576
8078,0118583
318846,1596363
451581,1862451
583,0079470
1375,0100507
171274,1791528
1427,0396171
8066,0371257
340677,2679552
251,0099653
34647,1191111
3021,0450385
2666,0118929
816,0118655
1640,0375679
58574,1515091
508,0314331
935,0057012
9331,0109444
49018,1591095
709,0097742
10895,0032910
27582,0472399
192,0091605
397243,3289956
36955,0111503
9354,0097523
1491,0443543
1412,0098724
39514,1245526
138843,1457767
10112,0065421
254320,3464902
112160,1753584
9543,0473075
233063,2987732
473,0138704
163,0349903
2978,0097428
95610,1473832
123553,1538403
2024,0187393
44826,0970179
22538,0446029
37247,0061722
339527,1291570
241554,2199571
2567,0338751
165,0096874
1571,0337978
2758,0106220
6978,0090728
907,0059113
8698,0311429
881,0104257
378018,4255304
429,0060196
109439,1951261
310,0315327
12162,0887912
3176,0266308
4523,0461770
325348,3072482
76649,1921064
38234,1156466
277834,3521164
86834,1959490
9325,0061852
396535,5700672
224141,2180411
20504,1037705
2164,0111282
1669,0099810
152532,0790636
782,0119177
4108,0293662
869,0133152
62211,1453405
97367,1817273
76492,0837562
1359,0144084
9342,0120746
454,0117509
97630,1790885
3558,0172493
18240,1041829
10527,0479952
616,0325710
138832,1723121
26550,0077682
50544,1632708
15121,0059742
339984,4257926
9377,0091042
5336,0073650
10999,0088944
84354,2125698
106,0093773
77931,2017020
414190,3171832
154400,1600196
1813,0118971
245703,2649554
49444,1302011
377264,4520364
2649,0119174
241848,2980592
381289,1753383
700,0086034
9739,0106697
624,0064276
9482,0113492
4520,0857265
351211,1540011
96721,1979320
435,0319262
331214,0185906
622,0142688
322487,3228088
657,0057076
168098,0775440
1089,0102685
228165,2279373
303858,2241351
329,0107290
4771,0452623
339967,4680182
15472,1132620
682,0071807
7443,0120630
691,0076752
262391,2800240
19898,1188729
94329,1899353
215,0432348
764,0083907
1844,0137494
1374,0089927
1578,0081398
924,0363547
307663,3480796
50546,1564367
24808,0086336
1933,0230600
288171,3748440
261392,3316948
1487,0167190
413658,4652532
213681,2461150
11321,0814314
169917,0365907
141052,0974015
436398,6543048
218043,2467046
9444,0118617
