,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,month,decade,group5,group4,group7,group6,group1,group3,group2
0,"[28, 53, 878, 9648]",Minority Report,/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg,180,4.023489,"self-fulfilling prophecy,evidence,hologram,dystopia",2035,7.0,Steven Spielberg,418905.0,12,88.0,49.0,6,9,0,0,0,1,0,0,1
1,"[12, 53, 878]",War of the Worlds,/xXMM9KY2eq1SDOQif9zO91YOBA8.jpg,74,4.022906,"post traumatic stress  disorder,new jersey,airplane,dystopia,daughter,apocalypse,alien invasion,human subjugation",1690,6.1,Steven Spielberg,349381.0,12,94.0,90.0,6,9,0,0,0,1,0,0,1
2,"[878, 18]",Close Encounters of the Third Kind,/mABOVIUl5lB0WF4HG28rfamgxG1.jpg,840,4.018199,"indiana,obsession,extraterrestrial technology,evacuation,blackout,flying saucer,secret base,light,contact,beguilement,exchange,ufo,alien,vision,missing person,mother ship,escapade,obsessive quest,life turned upside down",849,7.2,Steven Spielberg,146265.0,R,10.0,8.0,11,6,0,0,0,1,0,0,1
3,"[12, 18, 53]",127 Hours,/c6Nu7UjhGCQtV16WXabqOQfikK6.jpg,44115,4.017993,"mountains,despair,adventure,utah,alone,canyon,climbing,based on true story,rescue,survival,escape,true,trapped,boulder,adventurer,flashback,climber,isolated,hikers,very little dialogue",2067,6.9,Danny Boyle,292099.0,15,11.0,6.0,11,10,0,0,0,1,0,0,1
4,[27],Ouija,/vHTXN00kJktCbSLV50Vbk9siNiX.jpg,242512,4.014788,"death of a friend,swimming pool,ouija,ouija board,teenager,based on board game,ghost,spiritualism,supernatural horror",726,4.9,Stiles White,37043.0,15,20.0,4.0,10,10,0,0,0,0,0,0,1
5,"[18, 878, 9648]",Contact,/yRF1qpaQPZJjiORDsR7eUHzSHbf.jpg,686,4.008309,"based on novel,nasa,new mexico,extraterrestrial technology,prime number,star,radio wave,wormhole,fanatic,spirituality,religion,scientist,sabotage,ham radio,alien contact,mechanical engineering,observatory,eccentric man,radio telescope",1028,7.1,Robert Zemeckis,211096.0,PG,7.0,28.0,7,8,0,0,0,1,0,0,1
6,"[28, 12, 18, 53]",Undisputed,/dhBQvKYMayM61M7kHOk35IfpE8K.jpg,15070,4.00681,sport,94,6.2,Walter Hill,22992.0,15,12.0,2.0,8,9,0,0,0,1,0,0,1
7,"[12, 14, 18]",Snow White and the Huntsman,/40iabcM7KQLJzmO8yGm8AvUbxZR.jpg,58595,4.00397,"queen,magic,fairy tale,magic mirror,immortality,deception,woman,eternal youth,snow white,evil queen,fantasy world,evil stepmother,imprisoned,dark forest,sorceress",2492,5.7,Rupert Sanders,238655.0,12,133.0,91.0,5,10,0,0,0,1,0,1,1
8,"[18, 10749]",The Great Gatsby,/oJpOYPpVWyPeunGbbDGH1KFvea0.jpg,64682,4.001257,"based on novel,infidelity,obsession,hope,3d",2923,7.2,Baz Luhrmann,383431.0,12,44.0,16.0,5,10,1,0,0,0,0,0,1
9,"[35, 14, 878]",Mars Attacks!,/sM4VrptBRIFHmN7mLJZ2BaGKYNq.jpg,75,3.988545,"saving the world,total destruction,magic language,white house,mars,u.s. president,cataclysm,lasergun,ambassador,congress,pest,flying saucer",1139,6.1,Tim Burton,179223.0,12,60.0,32.0,12,8,0,0,1,1,0,1,0
10,"[18, 80]",Spring Breakers,/nDs6gn1VH5MmF7l8G8UABBBX0G1.jpg,122081,3.988312,"female nudity,sex,florida,drug dealer,nudity,female friendship,party,art house,drug,spring break,bikini girl,young adult",1222,5.0,Harmony Korine,113597.0,18,13.0,4.0,1,10,0,0,0,0,0,0,1
11,"[28, 80]",The Italian Job,/jNRCNX1uDiUf6mteFxOBn30wL8Q.jpg,9654,3.975203,"venice,california,train station,helicopter,austria,mountains,gold,subway,hacker,chase,safe,remake,caper,revenge,murder,heist,double crossed,fast cars,boat chase,los angeles,explosion,convict,father daughter relationship,car chase,tv news,hollywood sign,television repair,mini cooper",1561,6.6,F. Gary Gray,296588.0,12,134.0,17.0,5,9,0,0,0,1,0,0,1
12,[18],Good Will Hunting,/jq8LjngZ7XZEQge5JFTdOGMrHyZ.jpg,489,3.96895,"sex,baseball,boston,professor,m.i.t.,harvard university,ambition,mathematics,genius,love,friends,janitor,irish,psychologist,university,courtroom,flashback,prodigy",2086,7.8,Gus Van Sant,648957.0,15,2.0,4.0,12,8,0,0,0,0,0,0,1
13,"[28, 53, 80]",Wanted,/mUrkppyahzk6koYFekxeu0tmcPd.jpg,8909,3.96891,"assassin,loss of father,secret society,mission of murder,revenge",2031,6.4,Timur Bekmambetov,310621.0,18,83.0,68.0,6,9,0,0,0,1,0,0,1
14,"[28, 35, 878]",Men in Black 3,/l9hrvXyGq19f6jPRZhSVRibTMwW.jpg,41154,3.968771,"time travel,time machine,alien,fictional government agency,seeing the future,changing history",3531,6.2,Barry Sonnenfeld,276910.0,PG,103.0,41.0,5,10,0,0,1,1,0,0,0
15,"[28, 53, 12]",Hanna,/2Jr4Rl4Hjiahgh09bjeH8tFhgKp.jpg,50456,3.966267,"assassin,self sacrifice,strip club,secret agent,training,british,road trip,dead animal,teenage girl,pistol,duringcreditsstinger",1055,6.5,Joe Wright,163495.0,12,37.0,27.0,4,10,0,0,0,1,0,0,1
