,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,year,month,group5,group4,group7,group6,group1,group3,group2
5358,"[36, 12, 18]",The Colossus of Rhodes,/7eQo6dj8B89BS1xC25UvJICia8f.jpg,43020.0,1.248371,"greek mythology,plot",20.0,6.1,Sergio Leone,1988.0,A,1.0,2.0,1961.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4357,"[10752, 18, 36, 28, 10749]",Henry V,/9k34jK0UlAqcbPCgY3Ny7CMwXZL.jpg,10705.0,1.338448,"shakespeare,hero,kingdom,war,based on play,gritty,medieval,king of england",53.0,7.2,Kenneth Branagh,24206.0,PG-13,5.0,7.0,1989.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5538,"[36, 18]",Europa Europa,/1BufsXykWHINVvwQVROVqOwFBQ7.jpg,8996.0,1.231623,"russia,german,nazis,hitler youth,jewish,woman director,jewish boy",41.0,7.1,Agnieszka Holland,12433.0,15,2.0,1.0,1990.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5170,"[10752, 18]",Fateless,/lKPlz8kavNZfBw1UILSAhPU0NPL.jpg,41508.0,1.26418,"budapest,hungary,concentration camp,world war ii",22.0,6.1,Lajos Koltai,5790.0,NC-16,4.0,6.0,2005.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6106,"[36, 18]",Nova Zembla,/bIUNMCqQUsOxg9jKFZ6SbLmPkwy.jpg,79040.0,1.255933,"seefahrt,nordmeer,survival",19.0,5.4,Reinout Oerlemans,3570.0,12,6.0,10.0,2011.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1423,"[10752, 18, 36]",Welcome to Sarajevo,/9kJOjSLekn2B4hwHiGMOPEhxyrU.jpg,14905.0,1.984634,"england,civil war,journalist,sarajevo,orphanage,bosnian war of 1992-1995",19.0,6.5,Michael Winterbottom,6077.0,15,2.0,3.0,1997.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1378,"[10752, 18, 36, 28]",The Monuments Men,/buKyrMjMaK78uFdZAbp5Wg3Eveq.jpg,152760.0,2.003194,"world war ii,nazis,art theft,post world war ii",1268.0,5.8,George Clooney,107183.0,12A,38.0,43.0,2014.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6070,"[10752, 18, 10749]",The Year of Living Dangerously,/3fBuFmNLTDKuL3QOlgeIvLdekJn.jpg,11541.0,1.259015,"civil war,embassy,indonesia,falling in love",67.0,6.8,Peter Weir,16125.0,PG,1.0,1.0,1982.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5372,"[10752, 18]",In Harm's Way,/suHNDmqn377UyO1DhXdxG2FbD6j.jpg,37921.0,1.246857,"pearl harbor,naval officer,admiral,second chance",20.0,6.4,Otto Preminger,6523.0,TV-14,8.0,1.0,1965.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2439,"[36, 18]",Selma,/xj1H3dpEHhouyJNB1lfpkKf9fXX.jpg,273895.0,1.687906,"alabama,martin luther king,president,black american,civil rights,protest march,woman director,selma",695.0,7.4,Ava DuVernay,66751.0,12A,77.0,4.0,2014.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4919,"[10752, 18, 28, 10769]",Von Richthofen and Brown,/d691rGgc46Ac7JdaxmQ8Sp7e9DP.jpg,84285.0,1.2844,"world war i,aerial combat,fighter plane",4.0,6.5,Roger Corman,780.0,PG-13,4.0,3.0,1971.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1559,"[10752, 18, 36, 10749]",Bitter Harvest,/lcjmS7uleSh2X0V7v7j7pWss115.jpg,403390.0,1.935513,"ukraine,ukrainian village,holodomor",10.0,7.6,George Mendeluk,1079.0,15,16.0,11.0,2017.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5329,"[10752, 18, 28, 12, 36]",The Pacific,/xV7FKNqOwnO3aJSiRM8WCrwdRS8.jpg,189197.0,1.251895,"world war ii,mini-series,hbo",266.0,7.8,Jeremy Podeswa,73913.0,15,45.0,59.0,2010.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
835,"[10752, 18]",The Boy in the Striped Pyjamas,/f40R9to84FGF7T5bp3KGB84Lklb.jpg,14574.0,2.545442,"nationalism,concentration camp,world war ii,gas chamber,nazis,concentration camp prisoner",1004.0,7.6,Mark Herman,142978.0,12A,1.0,6.0,2008.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1728,"[10752, 18, 36]",The Killing Fields,/pzSdpgnjJi79UboweTlFDQmRq7M.jpg,625.0,1.877182,"civil war,journalist,photographer,vietnam,cambodia,killing fields,red khmer,pol pot,based on true story,genocide,based on true events",144.0,7.4,Roland Joffé,43551.0,R,1.0,5.0,1984.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
