,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,year,month,group5,group4,group7,group6,group1,group3,group2
4381,"[28, 12, 18, 10752]",Young Winston,/fAcVoMa8uP1oNH5cOIzX8YnhsFX.jpg,66775,1.335306,"parliament,winston churchill,election,turn of the century",11,7.1,Richard Attenborough,1541.0,PG,5.0,3.0,1972,7,0,0,0,1,1,0,1
5186,"[10752, 18, 36]",Gettysburg,/xjpMfoPmo4bX8MEZPpWl8lBq6rx.jpg,10655,1.263057,"civil war,troops,independence day,army,battle,union soldier,confederate soldier,american civil war",74,6.6,Ron Maxwell,22562.0,PG,22.0,20.0,1993,10,0,0,0,0,1,0,1
5091,"[35, 18, 36]",Hyde Park on Hudson,/3mbfrCzlXlzO5kDTq2Qgj9EefYz.jpg,87504,1.270609,"queen,park,franklin d. roosevelt,hyde park,queen of england,king of england,1930s",66,5.4,Roger Michell,9755.0,12A,3.0,5.0,2012,12,0,0,1,0,1,0,1
1554,"[35, 10752]",Don't Look Now: We're Being Shot At,/jXMy9bn7gZ3D1KL4XoMAlFyn407.jpg,8290,1.937625,"paris,world war ii,british,paratroops,french resistance,nazi occupation",150,7.8,Gérard Oury,11790.0,G,3.0,6.0,1966,12,0,0,1,0,1,0,0
3396,"[18, 10752]",Stop-Loss,/k6JVbZ1RWswGHkt5sRcT9wUVUbj.jpg,8988,1.499944,"post traumatic stress  disorder,iraq war veteran,u.s. soldier,woman director",66,6.1,Kimberly Peirce,18155.0,15,43.0,12.0,2008,3,0,0,0,0,1,0,1
5076,"[18, 10752]",Richard III,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,31174,1.271464,"england,kidnapper,shakespeare adaptation,murder,king",43,6.7,Richard Loncraine,12005.0,15,12.0,11.0,1995,12,0,0,0,0,1,0,1
5615,"[28, 12, 18, 36, 10752]",Saints and Soldiers,/9sN1aakDUwUuL8Es317toWiF3ez.jpg,10105,1.224389,"winter,belgium,world war ii,nazis,bravery,ardennen,slaughter,nazi germany,soldier",72,6.6,Ryan Little,18234.0,PG-13,6.0,5.0,2003,9,0,0,0,1,1,0,1
4729,"[10752, 18]",Under Fire,/mvscM4MPbxTxfi66AwIYHfRY7PF.jpg,12503,1.300173,"wife husband relationship,1970s,revolution,war photographer,nicaragua",34,6.9,Roger Spottiswoode,5590.0,R,17.0,2.0,1983,10,0,0,0,0,1,0,1
87,"[28, 18, 53, 10752]",13 Hours: The Secret Soldiers of Benghazi,/m4ZfuML89Rq8gbRGdm9ncSibjlx.jpg,300671,3.70375,"based on novel,assault rifle,libya,based on true story,heroism,explosion,american abroad,death,2010s",725,7.0,Michael Bay,74711.0,15,43.0,41.0,2016,1,0,0,0,1,1,0,1
4655,"[10752, 18]",Come What May,/aRfF8pqCLEqenT1vE0iW4xHMWIz.jpg,351192,1.309783,world war ii,10,5.3,Christian Carion,383.0,10,30.0,2.0,2015,11,0,0,0,0,1,0,1
6169,"[53, 12, 36, 18]",Gray Lady Down,/afSSqIIfyqil4ZQSn6eTFy46FNl.jpg,31948,1.248493,"submarine,drowning,based on novel,rescue,disaster,underwater,disaster film,collision",19,6.7,David Greene,2079.0,PG,5.0,2.0,1978,3,0,0,0,1,1,0,1
1728,"[10752, 18, 36]",The Killing Fields,/pzSdpgnjJi79UboweTlFDQmRq7M.jpg,625,1.877182,"civil war,journalist,photographer,vietnam,cambodia,killing fields,red khmer,pol pot,based on true story,genocide,based on true events",144,7.4,Roland Joffé,43551.0,R,1.0,5.0,1984,11,0,0,0,0,1,0,1
